"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Dreaming City -Reissued,,,,,,,,,
Retold Tale,Shotgun,Precision,Void,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Surplus, Quickdraw, Lead from Gold","Vorpal Weapon, One-Two Punch, Demolitionist",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds","Quickdraw, Slideshot","Killing Wind, Demolitionist, Snapshot Sights",Reload,PvP
,,,,,,,,,
Vouchsafe,Scout Rifle,Lightweight,Void,"Fluted Barrel, Corkscrew Rifling, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Rapid Hit, Outlaw, Fourth Time's the Charm","Explosive Payload, Dragonfly, Multikill Clip",Reload,PvE
,,,,"Fluted Barrel, Smallbore, Polygonal Rifling","Accurized Rounds, Steady Rounds, Tactical Mag","Rapid Hit, Killing Wind, Surplus","Explosive Payload, Eye of the Storm, Wellspring",Stability,PvP
,,,,,,,,,
Waking Vigil,Hand Cannon,Adaptive,Arc,"Fastdraw HCS, Steadyhand HCS, Hitmark HCS","Appended Mag, Extended Mag, High-Caliber Rounds","Rapid Hit, Outlaw, Surplus","Kill Clip, Dragonfly, Vorpal Weapon",Reload,PvE
,,,,"Steadyhand HCS, Hitmark HCS, Truesight HCS","Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Rangefinder, Killing Wind","Opening Shot, Snapshot Sights, Kill Clip",Range,PvP
,,,,,,,,,
Sleepless,Rocket Launcher,High-Impact,Arc,"Quick Launch, Smart Drift Control, Linear Compensator","Impact Casing, Alloy Casing","Auto-Loading Holster, Field Prep","Chain Reaction, Vorpal Weapon, Demolitionist, Wellspring",Reload,PvE
,,,,"Hard Launch, Volatile Launch",Impact Casing,"Quickdraw, Tracking Module","Wellspring, Demolitionist, Chain Reaction",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Moon - Reissued,,,,,,,,,
Blasphemer,Shotgun,Precision (Slug),Kinetic,"Fluted Barrel, Corkscrew Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Fourth Time's the Charm, Surplus","Swashbuckler, Rampage",Reload,PvE
,,,,"Hammer-Forged Rifling, Full Bore, Extended Barrel","Assault Mag, Accurized Rounds",Quickdraw,"Opening Shot, Moving Target, Swashbuckler",Range,PvP
,,,,,,,,,
Apostate,Sniper Rifle,Rapid-Fire,Arc,"Fluted Barrel, Corkscrew Rifling, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Outlaw, Surplus","Wellspring, Explosive Payload",Reload,PvE
,,,,"Hammer-Forged Rifling, Smallbore, Fluted Barrel","Accurized Rounds, Tactical Mag","Firmly Planted, Killing Wind, No Distractions","Quickdraw, Opening Shot",Range,PvP
,,,,,,,,,
Premonition,Pulse Rifle,High-Impact,Void,"Arrowhead Brake, Smallbore, Polygonal Rifling","Appended Mag, Extended Mag","Feeding Frenzy, Killing Wind","Rampage, Thresh, High-Impact Reserves",Reload,PvE
,,,,"Arrowhead Brake, Polygonal Rifling, Smallbore","Ricochet Rounds, High-Caliber Rounds","Zen Moment, Moving Target, Killing Wind","Quickdraw, Headseeker, Snapshot Sights",Stability,PvP
,,,,,,,,,
Heretic,Rocket Launcher,Aggressive,Arc,"Quick Launch, Countermass, Smart Drift Control","Impact Casing, Alloy Casing","Impulse Amplifier, Field Prep","Lasting Impression, Demolitionist, Cluster Bomb",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Impact Casing,Impulse Amplifier,"Cluster Bomb, Quickdraw, Demolitionist",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Prismatic Recaster,,,,,,,,,
Cartesian Coordinate,Fusion Rifle,Rapid-Fire,Solar,"Hitmark IS, Cleanshot IS, Red Dot Micro","Liquid Coils, Enhanced Battery",Feeding Frenzy,"Swashbuckler, Vorpal Weapon, High-Impact Reserves",Reload,PvE
,,,,"Red Dot Micro, Red Dot 2 MOA","Accelerated Coils, Liquid Coils",Under Pressure,"High-Impact Reserves, Swashbuckler",Range,PvP
,,,,,,,,,
Eternal Blazon,Scout Rifle,Lightweight,Arc,"Candle PS, Spark PS, Torch HS3","Appended Mag, Extended Mag","Rapid Hit, Overflow, Full Auto Trigger System","One for All, Thresh, Kill Clip",Reload,PvE
,,,,"Torch HS3, Flash HS5, Impulse MS3","Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Killing Wind, Quickdraw","Kill Clip, Rangefinder",Stability,PvP
,,,,,,,,,
Retrofuturist,Shotgun,Lightweight,Void,"Barrel Shroud, Corkscrew Rifling","Assault Mag, Assault Mag, Extended Mag","Feeding Frenzy, Dual Loader","Swashbuckler, Trench Barrel",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds",Quickdraw,"Snapshot Sights, Swashbuckler",Reload,PvP
,,,,,,,,,
Tarantula,Linear Fusion Rifle,Precision,Arc,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Liquid Coils, Enhanced Battery, Ionized Battery","Field Prep, Feeding Frenzy","Kill Clip, Wellspring, Dragonfly",Reload,PvE
